Chambre,Liste,Score,Sièges,Nb voix
Allier,Coordination Rurale,33.67,3.0,692.0
Allier,Confédération Paysanne,15.09,1.0,310.0
Allier,Autre(s) liste(s),10.51,1.0,216.0
Haute-Loire,FNSEA-JA,48.3,13.0,883.0
Haute-Loire,Coordination Rurale,27.46,3.0,502.0
Haute-Loire,Confédération Paysanne,24.23,2.0,443.0
Hautes-Alpes,FNSEA-JA,40.76,13.0,505.0
Hautes-Alpes,Coordination Rurale,34.14,3.0,423.0
Hautes-Alpes,Confédération Paysanne,21.55,2.0,267.0
Hautes-Alpes,Modef,3.55,0.0,44.0
Loiret,FNSEA-JA,55.51,14.0,811.0
Loiret,Coordination Rurale,30.94,3.0,452.0
Loiret,Confédération Paysanne,13.55,1.0,198.0
Oise,FNSEA-JA,72.03,15.0,1365.0
Oise,Coordination Rurale,20.0,2.0,379.0
Oise,Confédération Paysanne,7.97,1.0,151.0
Rhône,FNSEA-JA,50.0,13.0,929.0
Rhône,Confédération Paysanne,31.86,3.0,592.0
Rhône,Coordination Rurale,18.14,2.0,337.0
Tarn,Coordination Rurale,44.42,13.0,1187.0
Tarn,FNSEA-JA,35.1,3.0,938.0
Tarn,Confédération Paysanne,20.47,2.0,547.0
La Réunion,FNSEA-JA,45.3,13.0,2519.0
La Réunion,CGPER,33.56,3.0,1866.0
La Réunion,UPNA,21.15,2.0,1176.0
Guyane,Grage avec Confédération paysanne (moins de 10 ha),37.7,5.0,282.0
Guyane,FNSEA-JA (moins de 10 ha),25.53,1.0,191.0
Guyane,"Changeons de cap, avec le Modef (moins de 10 ha)",20.05,1.0,150.0
Guyane,"GRAGE, avec Confédération paysanne (plus de 10ha)",7.62,3.0,57.0
Guyane,Changeons de cap - Modef (plus de 10 ha),5.08,1.0,38.0
Guyane,FNSEA-JA (plus de 10 ha),4.01,1.0,30.0
Martinique,FNSEA-JA,48.69,13.0,297.0
Martinique,Confédération Paysanne,35.9,3.0,219.0
Martinique,Autre(s) liste(s),15.41,2.0,94.0
Guadeloupe,Modef,30.76,12.0,908.0
Guadeloupe,JA,25.14,2.0,742.0
Guadeloupe,Confédération Paysanne,23.88,2.0,705.0
Guadeloupe,Coordination Rurale,11.89,1.0,351.0
Guadeloupe,FNSEA,8.33,1.0,246.0
Corse,Confédération Paysanne,52.41,27.0,1349.0
Corse,FNSEA-JA,47.59,9.0,1225.0
Île-de-France,FNSEA-JA,66.6,32.0,1655.0
Île-de-France,Coordination Rurale,22.01,4.0,547.0
Île-de-France,Confédération Paysanne,11.39,2.0,283.0
