code,country,country_code,acronym,name_fr,name_original,name,ep2024_group_code,ep2024_group_name,ep2019_group_code,ep2019_group_name,ep2019_group_acronym,ep2014_group_code,ep2014_group_name,ep2014_group_acronym,pol_position_primary_code,pol_position_primary_name,pol_position_secondary_code,pol_position_secondary_name,ep_belgium_electoral_college,ep_name,ep_name_alt,ee_name,ee_name_alt
BGR-NFSB,Bulgary,BGR,NFSB,Front national pour le salut de la Bulgarie,Natzionalen Front za Spasenie na Bulgaria,National Front for the Salvation of Bulgaria,NI,Non-inscrits,NI,Non-attached members,NI,ELDD,Europe of Freedom and Direct Democracy,ELDD,DRO,Right,,,,,,,
BGR-ITN,Bulgary,BGR,ITN,Il y a un tel peuple,Ima takăv narod,There is Such a People,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,NC,Unknown,NC,AUT,Others,,,,There Is Such a People,,Има такъв народ (ITN),
BGR-DPS,Bulgary,BGR,DPS,Mouvement des droits et des libertés,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,nc,,Движение за права и свободи (DPS),
BGR-MRF,Bulgary,BGR,MRF,Mouvement des droits et des libertés,Movement for Rights and Freedoms,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,AUT,Others,CEN,Center,,Movement for Rights and Freedoms,,,
BGR-BMPO,Bulgary,BGR,BMPO,Mouvement national bulgare,,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,ELDD,Europe of Freedom and Direct Democracy,ELDD,EXD,Far right,DSV,Right nationalist,,nc,,,
BGR-VMRO,Bulgary,BGR,VMRO,Mouvement national bulgare,Bălgarsko nacionalno dviženie,Bulgarian National Movement,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,EXD,Far right,,,,VMRO,,,
BGR-PP,Bulgary,BGR,PP,Nous continuons le changement,Prodalzhavame promyanata,We Continue the Change,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,We continue the change – Democratic Bulgaria,,Продължаваме промяната (PP),
BGR-DAP,Bulgary,BGR,DAP,"Oui, Bulgarie !","Da, Balgariya!","Yes, Bulgaria!",PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,LIB,Liberal,,,,,,"Да, България! (DaB)",
BGR-YESBG,Bulgary,BGR,YESBG,"Oui, Bulgarie !",,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,CEN,Center,,,,nc,,,
BGR-BSP,Bulgary,BGR,BSP,Parti socialiste bulgare,Bulgarian Socialist Party,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Bulgarian Socialist Party,,Българска социалистическа партия (BSP),
BGR-PATRIOTS,Bulgary,BGR,PATRIOTS,Patriotes unis,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,,,,nc,,,
BGR-VOLYA,Bulgary,BGR,VOLYA,Pouvoirs,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,DRO,Right,DSV,Right nationalist,,nc,,,
BGR-BBT,Bulgary,BGR,BBT,Recharger la Bulgarie,,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,EXD,Far right,,,,nc,,,
BGR-RBP,Bulgary,BGR,RBP,Relancer la Bulgarie,Reload Bulgaria Party,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,EXD,Far right,,,,Reload Bulgaria Party,,,
BGR-V,Bulgary,BGR,V,Réveil,Vazrazhdane,Revival,NC,Groupe inconnu,ID,Identity and Democracy,IL,NC,Unknown,NC,EXD,Far right,,,,Revival,,Възраждане (V),
BGR-SDS,Bulgary,BGR,SDS,Union des forces démocratiques,Sayuz na demokratichnite sili,Union of Democratic Forces,PPE,Parti populaire européen,PPE,European People's Party,EPP,,,,DRO,Right,,,,Union of Democratic Forces,,,
BGR-ATTACK,Bulgary,BGR,ATTACK,Union nationale Attaque,Nacionalno Obedinenie Atak,Attack,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXD,Far right,,,,,,,
HRV-NSR,Croatia,HRV,NSR,[Parti inconnu],,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,nc,,,
HRV-GLAS,Croatia,HRV,GLAS,Alliance civique libérale,Građansko-liberalni savez,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,GAU,Left,,Građansko-liberalni savez,,,
HRV-AMS,Croatia,HRV,AMS,Amsterdamska koalicija,Amsterdamska koalicija,Coalition d’Amsterdam,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,,,,
HRV-BM365,Croatia,HRV,BM365,Bandić Milan 365,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,CEN,Center,GAU,Left,,nc,,,
HRV-ZZ,Croatia,HRV,ZZ,Bouclier humain,Živi zid,Human Shield,NC,Groupe inconnu,NC,Unknown,NC,ELDD,Europe of Freedom and Direct Democracy,ELDD,AUT,Others,AUT,Others,,Živi Zid,,,
HRV-ORAH,Croatia,HRV,ORAH,Développement durable de la Croatie,Održivi razvoj Hrvatske,Sustainable Development of Croatia,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,,,,
HRV-IDS,Croatia,HRV,IDS,Diète démocratique istrienne,Istarski demokratski sabor – Dieta democratica istriana,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,Istarski demokratski sabor - Dieta democratica istriana,,,
HRV-IND,Croatia,HRV,IND,Indépendants,Independent,Independent,NC,Groupe inconnu,NC,Unknown,NC,,,,AUT,Others,,,,Independent,,,
HRV-KH,Croatia,HRV,KH,La Clé de la Croatie,Ključ Hrvatske,The Key of Croatia,NI,Non-inscrits,NI,Non-attached members,NI,,,,AUT,Others,,,,KLJUČ Hrvatske,,,
HRV-MOST,Croatia,HRV,MOST,Le Pont,,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,NI,Non-attached members,NI,DRO,Right,LIB,Liberal,,nc,,Most Nezavisnih Lista,
HRV-NHR,Croatia,HRV,NHR,Les indépendants pour la Croatie,Neovisni za Hrvatsku,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXD,Far right,,,,nc,,,
HRV-NLMP,Croatia,HRV,NLMP,Liste de Marijana Petir,Marijana Petir,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
HRV-NLMK,Croatia,HRV,NLMK,Liste de Mislav Kolakusic,Mislav Kolakušić,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
HRV-DPMS,Croatia,HRV,DPMS,Mouvement patriotique,Domovinski pokret,Homeland Movement,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,NC,Unknown,NC,EXD,Far right,,,,Domovinski pokret,,Domovinski Pokret,
HRV-M,Croatia,HRV,M,Nous pouvons !,Možemo!,We can!,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,NC,Unknown,NC,ECO,Ecologist,GAU,Left,,Možemo!,,Možemo! – politička platforma,
HRV-P,Croatia,HRV,P,Pametno,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,LIB,Liberal,,nc,,,
HRV-PAMETNO,Croatia,HRV,PAMETNO,Pametno,Pametno,Pametno,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,,,,
HRV-HKS,Croatia,HRV,HKS,Parti conservateur croate,Hrvatska konzervativna stranka,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,,,,Hrvatska konzervativna stranka,,,
HRV-SDSS,Croatia,HRV,SDSS,Parti démocratique indépendant serbe,Samostalna demokratska srpska stranka,Independent Democratic Serb Party,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,,,,
HRV-HSS,Croatia,HRV,HSS,Parti paysan croate,,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,nc,,,
HRV-HNS,Croatia,HRV,HNS,Parti populaire croate - Démocrates libéraux,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,nc,,,
HRV-SDP,Croatia,HRV,SDP,Parti social-démocrate,Socijaldemokratska partija Hrvatske,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Socijaldemokratska partija Hrvatske,,Socijaldemokratska Partija Hrvatske,
HRV-HS,Croatia,HRV,HS,Souverainistes croates,Hrvatski suverenisti,Croatian Sovereignists,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,,,,DRO,Right,,,,Hrvatski suverenisti,,,
HRV-START,Croatia,HRV,START,Start,Start,Start,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
HRV-HDZ,Croatia,HRV,HDZ,Union démocratique croate,Hrvatska demokratska zajednica,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Hrvatska demokratska zajednica,,Hrvatska Demokratska Zajednica,
CYP-ALIGN,Cyprus,CYP,ALIGN,Alignement démocratique,Δημοκρατική Παράταξη,Democratic alignment,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
CYP-MISC,Cyprus,CYP,MISC,Autres partis,,Others parties,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
CYP-DIPA,Cyprus,CYP,DIPA,Front démocratique,Dimokratikí Parátaxi,Democratic Alignment,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,,,,
CYP-ELAM,Cyprus,CYP,ELAM,Front populaire national,Ethniko Laiko Metopo,National Popular Front,NI,Non-inscrits,NI,Non-attached members,NI,NC,Unknown,NC,EXD,Far right,,,,Εθνικό Λαϊκό Μέτωπο,,Εθνικό Λαϊκό Μέτωπο (ELAM),
CYP-SYPOL,Cyprus,CYP,SYPOL,L’Alliance des citoyens,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,nc,,,
