code,country,country_code,acronym,name_fr,name_original,name,ep2024_group_code,ep2024_group_name,ep2019_group_code,ep2019_group_name,ep2019_group_acronym,ep2014_group_code,ep2014_group_name,ep2014_group_acronym,pol_position_primary_code,pol_position_primary_name,pol_position_secondary_code,pol_position_secondary_name,ep_belgium_electoral_college,ep_name,ep_name_alt,ee_name,ee_name_alt
GRC-ND,Greece,GRC,ND,Nouvelle démocratie,Nea Demokratia,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Nea Demokratia,,Νέα Δημοκρατία (ND),
GRC-NA,Greece,GRC,NA,Nouvelle gauche,Néa Aristerá,New Left,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,NC,Unknown,NC,EXG,Far left,,,,New Left,,Νέα Αριστερά (NA),
GRC-KKE,Greece,GRC,KKE,Parti communiste de Grèce,Communist Party of Greece,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXG,Far left,DSV,Right nationalist,,Communist Party of Greece,,Κομμουνιστικό Κόμμα Ελλάδας (KKE),
GRC-PASOK,Greece,GRC,PASOK,Parti socialiste grec,Panhellenic Socialist Movement – Olive Tree,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Panhellenic Socialist Movement - Olive Tree,,,
GRC-ELLN,Greece,GRC,ELLN,Solution grecque,Ellinikí Lýsi,Greek Solution,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,,,,EXD,Far right,,,,Elliniki Lusi-Greek Solution,,,
GRC-SYRIZA,Greece,GRC,SYRIZA,Syriza,Coalition of the Radical Left,Syriza,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,GAU,Left,,,,Coalition of the Radical Left,,Συνασπισμός Ριζοσπαστικής Αριστεράς – Προοδευτική Συμμαχία (SYRIZA),
GRC-EK,Greece,GRC,EK,Union des centristes,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,nc,,,
GRC-PATRIE,Greece,GRC,PATRIE,Union patriotique radicale,Patriotic Radical Union (PAT.RI.E.),,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,,,,Patriotic Radical Union (PAT.RI.E.),,,
GRC-LAE,Greece,GRC,LAE,Unité populaire,Popular Unity,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,Popular Unity,,,
HUN-DK,Hungary,HUN,DK,Coalition démocratique,Demokratikus Koalíció,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Demokratikus Koalíció,,Demokratikus Koalíció,
HUN-EK,Hungary,HUN,EK,Communauté d'opportunités,Esély Közösség,Opportunity Community,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,,,,AUT,Others,,,,Esély Közösség,,,
HUN-EGYUETT,Hungary,HUN,EGYUETT,Ensemble,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,CEN,Center,,,,nc,,,
HUN-EPM,Hungary,HUN,EPM,Ensemble,Együtt 2014 – Párbeszéd Magyarországért,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,GAU,Left,,,,Együtt 2014 - Párbeszéd Magyarországért,,,
HUN-FID,Hungary,HUN,FID,Fidesz,Fidesz-Magyar Polgári Szövetség,Fidesz,PPLE,Les Patriotes,NI,Non-attached members,NI,PPE,European People's Party,EPP,EXD,Far right,,,,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,,Fidesz – Magyar Polgári Szövetség,
HUN-JOBBIK,Hungary,HUN,JOBBIK,Jobbik,Jobbik Magyarországért Mozgalom,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,DSV,Right nationalist,,Jobbik Magyarországért Mozgalom,Jobbik – Konzervatívok,,
HUN-LMP,Hungary,HUN,LMP,La politique peut être différente,Lehet Más A Politika,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,Lehet Más A Politika,,,
HUN-MM,Hungary,HUN,MM,Momentum,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,LIB,Liberal,,Momentum,,Momentum Mozgalom,
HUN-MMM,Hungary,HUN,MMM,Mouvement de la Hongrie pour tous,Mindenki Magyarországa Mozgalom,Everybody's Hungary Movement,PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,DRO,Right,,,,,,Mindenki Magyarországa Mozgalom,
HUN-MH,Hungary,HUN,MH,Mouvement Notre Patrie,Mi Hazánk Mozgalom,Our Homeland Movement,ENS,Nations souveraines,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,DSV,Right nationalist,,Mi Hazánk Mozgalom,,Mi Hazánk Mozgalom,
HUN-2RK,Hungary,HUN,2RK,Parti de l'ère de la deuxième réforme,Második Reformkor Párt,Second Reform Era Party,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,CEN,Center,,,,,,Második Reformkor Párt,
HUN-TISZA,Hungary,HUN,TISZA,Parti du respect et de la liberté,Tisztelet és Szabadság Párt,Respect and Freedom Party,PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,AUT,Others,,,,Tisztelet és Szabadság Párt,,Tisztelet és Szabadság,
HUN-MKKP,Hungary,HUN,MKKP,Parti hongrois du chien à deux queues,Magyar Kétfarkú Kutya Párt,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,NI,Non-attached members,NI,AUT,Others,,,,nc,,Magyar Kétfarkú Kutya Párt,
HUN-KN,Hungary,HUN,KN,Parti populaire démocrate-chrétien,Kereszténydemokrata Néppárt,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Kereszténydemokrata Néppárt,,Kereszténydemokrata Néppárt,
HUN-MSZP,Hungary,HUN,MSZP,Parti socialiste hongrois,Magyar Szocialista Párt,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Magyar Szocialista Párt,,Magyar Szocialista Párt,
IRL-RI,Ireland,IRL,RI,[Parti inconnu],,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,NC,Unknown,,,,nc,,,
IRL-IA,Ireland,IRL,IA,Alliance indépendante,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,AUT,Others,,,,nc,,,
IRL-MISC,Ireland,IRL,MISC,Autres partis,,Others parties,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
IRL-FF,Ireland,IRL,FF,Fianna Fail,Fianna Fáil Party,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,DRO,Right,,Fianna Fáil Party,,Fianna Fáil,
IRL-FG,Ireland,IRL,FG,Fine Gael,Fine Gael Party,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Fine Gael Party,,Fine Gael,
IRL-IND,Ireland,IRL,IND,Indépendants,Independents,Independents,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,AUT,Others,,,,,,Independents,
IRL-IE_IND,Ireland,IRL,IE_IND,Indépendants et autres,Independents and others,Independents and others,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,NC,Unknown,NC,NC,Unknown,,,,Independent,,Independents (IE),
IRL-INDCHG,Ireland,IRL,INDCHG,Indépendants pour le changement,Independents for change,Independents for change,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,,,,EXG,Far left,,,,Independents for change,,I4C,
IRL-LAB,Ireland,IRL,LAB,Parti travailliste,,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Labour Party,,,
IRL-GP,Ireland,IRL,GP,Parti vert,,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,Green Party,,Green Party,
IRL-SF,Ireland,IRL,SF,Sinn Féin,Sinn Féin,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,Sinn Féin,,Sinn Féin,
IRL-SD,Ireland,IRL,SD,Sociaux-démocrates,,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,NI,Non-attached members,NI,GAU,Left,,,,nc,,Social Democrats,
IRL-SPBP,Ireland,IRL,SPBP,Solidarité - PBP,,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,nc,,,
ITA-I,Italy,ITA,I,[Parti inconnu],,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,NC,Unknown,,,,nc,,,
ITA-NCDUDC,Italy,ITA,NCDUDC,[Parti inconnu],,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,NC,Unknown,,,,nc,,,
ITA-NCI,Italy,ITA,NCI,[Parti inconnu],,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,NC,Unknown,,,,nc,,,
ITA-AZI,Italy,ITA,AZI,Action,Azione,Action,RE,Renew Europe,RE,Renew Europe,RE,NC,Unknown,NC,GAU,Left,,,,Azione,,Azione,
ITA-AIV,Italy,ITA,AIV,Action – Italia Viva,Azione – Italia Viva,Action – Italia Viva,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,,,,
ITA-AP,Italy,ITA,AP,Alternative populaire,Alternativa Popolare,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Alternativa Popolare,,,
ITA-MDP,Italy,ITA,MDP,Article 1 - Mouvement démocrate et progressiste,Articolo UNO – Movimento Democratico e Progressista,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Articolo UNO – Movimento Democratico e Progressista,,,
ITA-CP,Italy,ITA,CP,Coalition populaire,Coalizione Popolare,Popular Coalition,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,AUT,Others,,,,,,,
ITA-CER,Italy,ITA,CER,Conservateurs et réformistes,Conservatori e Riformisti,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,,,,Conservatori e Riformisti,,,
ITA-DC,Italy,ITA,DC,Démocratie chrétienne,Democrazia Cristiana,Christian Democracy,NI,Non-inscrits,NI,Non-attached members,NI,,,,DRO,Right,,,,Democrazia Cristiana,,,
ITA-FDV,Italy,ITA,FDV,Fédération des verts,Federazione dei Verdi,Federation of the Greens,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,,,,
ITA-FI,Italy,ITA,FI,Forza Italia,Forza Italia,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Forza Italia,,Forza Italia,
ITA-FIPDLFI,Italy,ITA,FIPDLFI,Forza Italia,,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,nc,,,
ITA-FDI,Italy,ITA,FDI,Frères d’Italie,Fratelli d'Italia,Brothers of Italy,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,EXD,Far right,,,,Fratelli d'Italia,FRATELLI D' ITALIA,Fratelli d’Italia,
ITA-IND,Italy,ITA,IND,Indépendants,Independent,Independent,NC,Groupe inconnu,NC,Unknown,NC,,,,AUT,Others,,,,Independent,,,
ITA-VIVA,Italy,ITA,VIVA,Italia Viva,Italia Viva,Italy Alive,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,,,,CEN,Center,,,,Italia Viva – Il Centro,,Italia Viva,
ITA-TSI,Italy,ITA,TSI,L'autre Europe avec Tsipras,Lista Tsipras-L'Altra Europa,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,Lista Tsipras-L'Altra Europa,,,
ITA-EV,Italy,ITA,EV,L’Europe verte,Europa Verde,Green Europe,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,Europa Verde,,Europa Verde,
ITA-IDV,Italy,ITA,IDV,L’Italie des Valeurs,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,GAU,Left,,nc,,,
ITA-LADESTRA,Italy,ITA,LADESTRA,La Droite,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,DRO,Right,DSV,Right nationalist,,nc,,,
ITA-LS,Italy,ITA,LS,La Gauche,La Sinistra,The Left,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,,,,
ITA-SI,Italy,ITA,SI,La Gauche italienne,Sinistra Italiana,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,GAU,Left,ECO,Ecologist,,Sinistra Italiana,,Sinistra Italiana,
ITA-LN,Italy,ITA,LN,La Ligue,Lega,,PPLE,Les Patriotes,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,DSV,Right nationalist,,Lega,Lega Nord,Lega,
ITA-SUD,Italy,ITA,SUD,Le Sud dans la tête,Sud in Testa,South in the Head,NI,Non-inscrits,NI,Non-attached members,NI,NC,Unknown,NC,AUT,Others,,,,Sud in Testa,,,
ITA-LEU,Italy,ITA,LEU,Libres et égaux,,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,nc,,,
ITA-M5S,Italy,ITA,M5S,Mouvement 5 étoiles,Movimento 5 Stelle,,NI,Non-inscrits,NI,Non-attached members,NI,ELDD,Europe of Freedom and Direct Democracy,ELDD,AUT,Others,DSV,Right nationalist,,Movimento 5 Stelle,,Movimento 5 Stelle,
ITA-SE,Italy,ITA,SE,Nous sommes européenns,Siamo Europei,We are Europeans,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,,,,GAU,Left,,,,Siamo Europei,,,
ITA-NM,Italy,ITA,NM,"Nous, modérés",Noi moderati,Us Moderates,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,CEN,Center,DRO,Right,,,,,
ITA-PD,Italy,ITA,PD,Parti démocrate,Partito Democratico,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,CEN,Center,,Partito Democratico,,Partito Democratico,
ITA-SV,Italy,ITA,SV,Parti populaire sud-tyrolien,Südtiroler Volkspartei,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Südtiroler Volkspartei,,Südtiroler Volkspartei,
ITA-PE,Italy,ITA,PE,Plus d'Europe,Più Europa,More Europe,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,,,Più Europa,
ITA-E,Italy,ITA,E,Plus d’Europe,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,CEN,Center,LIB,Liberal,,nc,,,
ITA-PER,Italy,ITA,PER,"Populaires, européens et réformateurs","Popolari Europeisti Riformatori
",Populars Europeanists Reformers,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,,,Popolari Europeisti Riformatori,
ITA-PAP,Italy,ITA,PAP,Pouvoir au peuple,Potere al Popolo,Power to the People,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,,,,
ITA-UDC,Italy,ITA,UDC,Union du centre,Unione di Centro,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,CEN,Center,,Unione di Centro,,,
LVA-KPV,Latvia,LVA,KPV,À qui appartient l’État ?,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,DRO,Right,AUT,Others,,nc,,,
LVA-LNNK,Latvia,LVA,LNNK,Alliance “Tout pour la Lettonie” et “Mère patrie et liberté LNNK”,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""","National Alliance ""For All Latvia!"" - ""Fatherland and Freedom / LNNK""",CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,NC,Unknown,,,,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",,,
LVA-NATA,Latvia,LVA,NATA,Alliance nationale,Nacionālā Apvienība,National Alliance,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,EXD,Far right,,nc,,Nacionālā Apvienība,
LVA-LRA,Latvia,LVA,LRA,Association lettonne des régions,,,PPE,Parti populaire européen,PPE,European People's Party,EPP,NI,Non-attached members,NI,CEN,Center,,,,nc,,Latvijas Reģionu Apvienība,
LVA-COAL-AP,Latvia,LVA,COAL-AP,Coalition AP!,Latvijas attīstībai + Par!,Coalition AP!,RE,Renew Europe,RE,Renew Europe,RE,NC,Unknown,NC,AUT,Others,,,,Attīstībai/Par!,,,
LVA-COAL-NA,Latvia,LVA,COAL-NA,Coalition nationale,Tēvzemei un Brīvībai/LNNK + Visu Latvijai!,National Coalition,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,AUT,Others,,,,,,,
LVA-LA,Latvia,LVA,LA,Développement letton,Latvijas attīstībai,For Latvia's Development,RE,Renew Europe,RE,Renew Europe,RE,NC,Unknown,NC,LIB,Liberal,,,,,,Latvijas attīstībai,
LVA-NSL,Latvia,LVA,NSL,Du cœur pour la Lettonie,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,DRO,Right,,,,nc,,,
LVA-GKR,Latvia,LVA,GKR,Honneur de servir Riga !,Gods kalpot Rīgai,Honor to serve Riga,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,,,,AUT,Others,,,,Gods kalpot Rīgai,,,
LVA-PRO,Latvia,LVA,PRO,Les Progressifs,The Progressives,Progresīvie,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Progresīvie,,Progresīvie,
LVA-LPV,Latvia,LVA,LPV,Lettonie d'abord,Latvija prēmų mēlā,Latvia First,PPLE,Les Patriotes,NI,Non-attached members,NI,,,,NC,Unknown,,,,Latvija pirmajā vietā,,Latvija pirmajā vietā,
LVA-AS,Latvia,LVA,AS,Liste unie,Apvienotais saraksts,United List,CRE,Conservateurs et réformistes,,,,,,,DRO,Right,,,,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",,,
LVA-PAR,Latvia,LVA,PAR,Mouvement pour !,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,LIB,Liberal,CEN,Center,,nc,,,
LVA-JKP,Latvia,LVA,JKP,Nouveau parti conservateur,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,DRO,Right,,,,nc,,,
LVA-JV,Latvia,LVA,JV,Nouvelle alliance,Jaunā Vienotība,New Unity,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Jaunā Vienotība,,,
LVA-JS,Latvia,LVA,JS,Nouvelle Harmonie,Jaunā Saskaņa,New Harmony,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
LVA-SDPS,Latvia,LVA,SDPS,Parti social-démocrate Harmonie,“Saskaņa” sociāldemokrātiskā partija,Social Democratic Party “Harmony”,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,CEN,Center,,"""Saskaņa"" sociāldemokrātiskā partija",,Sociāldemokrātiskā Partija “Saskaņa”,
LVA-S,Latvia,LVA,S,Pour la stabilité !,Stabilitātei!,For Stability!,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXD,Far right,,,,,,Stabilitātei!,
LVA-LZS,Latvia,LVA,LZS,Union des paysants de Lettonie,Latvijas Zemnieku savienība,Latvian Farmers’ Union,RE,Renew Europe,RE,Renew Europe,RE,NC,Unknown,NC,CEN,Center,DRO,Right,,,,Latvijas Zemnieku savienība,
LVA-ZZS,Latvia,LVA,ZZS,Union des Verts et des Paysans,Zaļo un Zemnieku savienība,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,ECO,Ecologist,,Zaļo un Zemnieku savienība,,,
LVA-LKS,Latvia,LVA,LKS,Union russe de Lettonie,Latvijas Krievu savienība,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,AUT,Others,AUT,Others,,Latvijas Krievu savienība,,,
LVA-V,Latvia,LVA,V,Unité,Vienotība,Unity,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,"Partija ""VIENOTĪBA""",,Vienotība,
LTU-NA,Lithuania,LTU,NA,Alliance nationale,Nacionalinis susivienijimas,National Alliance,NI,Non-inscrits,NI,Non-attached members,NI,,,,EXD,Far right,,,,,,NA,
LTU-VKMA-MT,Lithuania,LTU,VKMA-MT,Comité électoral public “Aušros Maldeikienės”,Visuomeninis rinkimų komitetas „Aušros Maldeikienės traukinys”,,PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,AUT,Others,,,,,,,
LTU-IND,Lithuania,LTU,IND,Indépendants,Independent,Independent,NC,Groupe inconnu,NC,Unknown,NC,,,,AUT,Others,,,,Independent,,,
LTU-DK,Lithuania,LTU,DK,La voie du courage,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,AUT,Others,,,,nc,,,
LTU-LRLS,Lithuania,LTU,LRLS,Mouvement libéral,Lietuvos Respublikos liberalų sąjūdis,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,LIB,Liberal,,Liberalų sąjūdis,,Lietuvos Respublikos liberalų sąjūdis,
LTU-LS,Lithuania,LTU,LS,Mouvement libéral,Liberalų sąjūdis,Liberals' Movement,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,DRO,Right,,,,,
LTU-TT,Lithuania,LTU,TT,Ordre et Justice,Partija Tvarka ir teisingumas,,NI,Non-inscrits,NI,Non-attached members,NI,ELDD,Europe of Freedom and Direct Democracy,ELDD,EXD,Far right,DSV,Right nationalist,,Partija Tvarka ir teisingumas,,,
LTU-LP,Lithuania,LTU,LP,Parti de la liberté,Laisvės partija,Freedom Party,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,CEN,Center,,,,Laisvės partija,,Laisvės partija,
LTU-LRP,Lithuania,LTU,LRP,Parti des régions lituaniennes,Lietuvos regionų partija,Lithuanian Regions Party,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,NC,Unknown,NC,GAU,Left,,,,,,Lietuvos regionų partija,
LTU-DP,Lithuania,LTU,DP,Parti du travail,Darbo partija,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,Darbo partija,,Darbo partija,
LTU-LCP,Lithuania,LTU,LCP,Parti lituanien du centre,Lietuvos Centro Partija,Lithuanian Centre Party,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,LIB,Liberal,,,,Tautos ir teisingumo sąjunga,,,
LTU-LSDP,Lithuania,LTU,LSDP,Parti social-démocrate de Lituanie,Lietuvos socialdemokratų partija,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Lietuvos socialdemokratų partija,,Lietuvos socialdemokratų partija,
LTU-LSDDP,Lithuania,LTU,LSDDP,Parti travailliste social-démocrate de Lituanie,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,GAU,Left,CEN,Center,,nc,,,
LTU-DSVL,Lithuania,LTU,DSVL,Union des démocrates “Pour la Lituanie”,Demokratų sąjunga “Vardan Lietuvos”,Union of Democrats “For Lithuania”,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,,,,CEN,Center,,,,Demokratų sąjunga „Vardan Lietuvos“,,Demokratų sąjunga „Vardan Lietuvos“,
LTU-LVZS,Lithuania,LTU,LVZS,Union populaire agraire lituanienne,Lietuvos valstiečių ir žaliųjų sąjunga,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,CEN,Center,,Lietuvos valstiečių ir žaliųjų sąjunga,,Lietuvos valstiečių ir žaliųjų sąjunga,
LTU-LLRA,Lithuania,LTU,LLRA,Union populaire des Polonais de Lituanie,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,AUT,Others,,,,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga,,,
LTU-TSKD,Lithuania,LTU,TSKD,Union pour la Patrie,Tėvynės sąjunga-Lietuvos krikščionys demokratai,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Tėvynės sąjunga-Lietuvos krikščionys demokratai,,Tėvynės sąjunga – Lietuvos krikščionys demokratai,
LUX-DG,Luxembourg,LUX,DG,Déi Gréng - Les Verts,Déi Gréng – Les Verts,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,Déi Gréng - Les Verts,,,
LUX-DL,Luxembourg,LUX,DL,La gauche,,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,nc,,,
